episode,avg_reward
10,-0.4
20,-0.45
30,-0.49999999999999994
40,-0.5
50,-0.43999999999999995
60,-0.43333333333333335
70,-0.4000000000000001
80,-0.40000000000000013
90,-0.4222222222222223
100,-0.42
110,-0.3909090909090909
120,-0.37916666666666654
130,-0.34999999999999987
140,-0.3357142857142855
150,-0.2999999999999998
160,-0.3062499999999998
170,-0.2764705882352939
180,-0.2999999999999998
190,-0.2842105263157893
200,-0.25749999999999984
210,-0.26428571428571407
220,-0.2590909090909089
230,-0.26956521739130423
240,-0.26666666666666644
250,-0.23399999999999987
260,-0.20769230769230754
270,-0.21481481481481463
280,-0.22142857142857128
290,-0.2103448275862067
300,-0.21499999999999983
310,-0.21451612903225792
320,-0.20468749999999988
330,-0.21515151515151504
340,-0.2205882352941175
350,-0.21999999999999986
360,-0.21388888888888877
370,-0.20945945945945932
380,-0.20921052631578935
390,-0.2025641025641024
400,-0.1962499999999998
410,-0.18658536585365837
420,-0.18690476190476174
430,-0.18255813953488353
440,-0.18295454545454526
450,-0.17666666666666647
460,-0.1815217391304346
470,-0.17127659574468068
480,-0.16458333333333316
490,-0.16938775510204068
500,-0.1659999999999999
510,-0.16372549019607832
520,-0.16826923076923062
530,-0.17452830188679233
540,-0.17314814814814805
550,-0.16636363636363627
560,-0.17142857142857132
570,-0.163157894736842
580,-0.16034482758620677
590,-0.1584745762711863
600,-0.16416666666666654
610,-0.15983606557377034
620,-0.15403225806451595
630,-0.14682539682539664
640,-0.14062499999999983
650,-0.13230769230769215
660,-0.13409090909090896
670,-0.1335820895522387
680,-0.1367647058823528
690,-0.1405797101449274
700,-0.1357142857142856
710,-0.13028169014084495
720,-0.13402777777777766
730,-0.1335616438356163
740,-0.133108108108108
750,-0.1313333333333332
760,-0.12631578947368408
770,-0.12662337662337653
780,-0.12499999999999989
790,-0.1272151898734176
800,-0.12812499999999988
810,-0.1259259259259258
820,-0.12926829268292667
830,-0.12530120481927692
840,-0.1255952380952379
850,-0.12294117647058804
860,-0.12383720930232539
870,-0.12586206896551708
880,-0.12556818181818163
890,-0.12191011235955039
900,-0.12055555555555539
910,-0.12032967032967018
920,-0.12554347826086942
930,-0.12634408602150524
940,-0.12606382978723388
950,-0.12578947368421037
960,-0.12916666666666654
970,-0.1278350515463916
980,-0.12499999999999986
990,-0.12575757575757562
1000,-0.13049999999999984
