episode,avg_reward
10,0.33333333333333337
20,-0.13157894736842105
30,-0.22413793103448276
40,-0.2564102564102564
50,-0.26530612244897955
60,-0.25423728813559315
70,-0.30434782608695654
80,-0.3291139240506329
90,-0.3539325842696629
100,-0.3383838383838383
110,-0.36238532110091737
120,-0.3655462184873948
130,-0.35271317829457355
140,-0.3381294964028777
150,-0.3288590604026846
160,-0.3459119496855346
170,-0.31360946745562135
180,-0.34078212290502796
190,-0.3306878306878307
200,-0.3065326633165829
210,-0.3014354066985645
220,-0.2945205479452054
230,-0.27729257641921384
240,-0.2782426778242676
250,-0.2690763052208833
260,-0.2799227799227798
270,-0.26208178438661694
280,-0.27419354838709664
290,-0.2698961937716261
300,-0.2775919732441469
310,-0.28155339805825225
320,-0.2852664576802507
330,-0.30699088145896647
340,-0.30973451327433615
350,-0.318051575931232
360,-0.32590529247910854
370,-0.32249322493224925
380,-0.3245382585751978
390,-0.31233933161953714
400,-0.31453634085213017
410,-0.3166259168704156
420,-0.301909307875895
430,-0.2995337995337996
440,-0.3018223234624146
450,-0.3084632516703787
460,-0.29738562091503273
470,-0.29424307036247344
480,-0.3006263048016703
490,-0.3006134969325155
500,-0.29859719438877763
510,-0.2976424361493124
520,-0.30539499036608875
530,-0.3109640831758035
540,-0.3181818181818183
550,-0.31420765027322417
560,-0.31395348837209325
570,-0.31458699472759244
580,-0.30915371329879116
590,-0.31409168081494077
600,-0.31218697829716213
610,-0.3119868637110018
620,-0.3085621970920842
630,-0.3100158982511926
640,-0.31455399061032885
650,-0.31047765793528526
660,-0.30273141122913527
670,-0.306427503736921
680,-0.3048600883652432
690,-0.3062409288824384
700,-0.30615164520743937
710,-0.30747531734837813
720,-0.3018080667593882
730,-0.3031550068587107
740,-0.3085250338294995
750,-0.3097463284379173
760,-0.3129117259552043
770,-0.30754226267880375
780,-0.3087291399229783
790,-0.30354879594423334
800,-0.309762202753442
810,-0.30593325092707074
820,-0.3095238095238099
830,-0.3178528347406518
840,-0.32121573301549505
850,-0.3233215547703185
860,-0.3259604190919678
870,-0.3245109321058693
880,-0.32195676905574555
890,-0.32170978627671587
900,-0.32146829810901045
910,-0.31518151815181566
920,-0.3182807399347122
930,-0.3223896663078583
940,-0.32481363152289705
950,-0.319283456269758
960,-0.3211678832116793
970,-0.3199174406604753
980,-0.3217568947906032
990,-0.3225480283114262
1000,-0.3208208208208213
