episode,avg_reward
10,0.09999999999999998
20,-0.15000000000000002
30,-0.23333333333333334
40,-0.3
50,-0.22
60,-0.18333333333333335
70,-0.21428571428571433
80,-0.22500000000000003
90,-0.2
100,-0.22
110,-0.24545454545454545
120,-0.23333333333333334
130,-0.2269230769230769
140,-0.1964285714285714
150,-0.1833333333333333
160,-0.190625
170,-0.19411764705882348
180,-0.21666666666666662
190,-0.2078947368421052
200,-0.19249999999999992
210,-0.19999999999999993
220,-0.22727272727272718
230,-0.2391304347826086
240,-0.24583333333333326
250,-0.2599999999999999
260,-0.26923076923076905
270,-0.2518518518518517
280,-0.24999999999999992
290,-0.24827586206896543
300,-0.25333333333333324
310,-0.2580645161290322
320,-0.26249999999999996
330,-0.26666666666666666
340,-0.2647058823529412
350,-0.2628571428571429
360,-0.2555555555555556
370,-0.2527027027027029
380,-0.24342105263157918
390,-0.24230769230769258
400,-0.2387500000000003
410,-0.23292682926829292
420,-0.229761904761905
430,-0.2220930232558142
440,-0.2193181818181821
450,-0.22555555555555584
460,-0.23695652173913073
470,-0.22446808510638327
480,-0.22187500000000032
490,-0.20918367346938807
500,-0.2070000000000003
510,-0.20098039215686303
520,-0.19326923076923105
530,-0.18773584905660404
540,-0.1870370370370373
550,-0.1736363636363639
560,-0.18125000000000024
570,-0.1885964912280704
580,-0.192241379310345
590,-0.1872881355932205
600,-0.18000000000000016
610,-0.1836065573770493
620,-0.1895161290322582
630,-0.18571428571428583
640,-0.18593750000000012
650,-0.18461538461538476
660,-0.19242424242424258
670,-0.18656716417910463
680,-0.1882352941176472
690,-0.18913043478260883
700,-0.18928571428571442
710,-0.18591549295774662
720,-0.18611111111111125
730,-0.18767123287671242
740,-0.1891891891891892
750,-0.18533333333333332
760,-0.18289473684210528
770,-0.1779220779220779
780,-0.1769230769230769
790,-0.17848101265822783
800,-0.17875000000000002
810,-0.1790123456790124
820,-0.18475609756097566
830,-0.1771084337349398
840,-0.18214285714285722
850,-0.18941176470588242
860,-0.1877906976744187
870,-0.1948275862068967
880,-0.19375000000000014
890,-0.1926966292134833
900,-0.1877777777777779
910,-0.1840659340659342
920,-0.17989130434782621
930,-0.17956989247311841
940,-0.17872340425531924
950,-0.18526315789473696
960,-0.18541666666666684
970,-0.18298969072164964
980,-0.18724489795918384
990,-0.18232323232323247
1000,-0.18150000000000013
