episode,avg_reward
100,-0.32999999999999985
200,-0.21999999999999986
300,-0.1716666666666665
400,-0.12999999999999987
500,-0.12799999999999984
600,-0.1366666666666665
700,-0.1428571428571427
800,-0.12562499999999988
900,-0.15722222222222199
1000,-0.15999999999999986
1100,-0.16227272727272724
1200,-0.16583333333333336
1300,-0.16346153846153852
1400,-0.17428571428571435
1500,-0.17433333333333328
1600,-0.1612499999999998
1700,-0.15235294117647027
1800,-0.14166666666666633
1900,-0.14315789473684176
2000,-0.14349999999999968
2100,-0.14976190476190435
2200,-0.14409090909090871
2300,-0.14152173913043425
2400,-0.14270833333333285
2500,-0.13559999999999958
2600,-0.1301923076923074
2700,-0.1259259259259256
2800,-0.12732142857142834
2900,-0.12103448275862048
3000,-0.1219999999999999
3100,-0.1259677419354839
3200,-0.12359374999999997
3300,-0.11893939393939391
3400,-0.11749999999999992
3500,-0.11771428571428565
3600,-0.12222222222222208
3700,-0.12189189189189174
3800,-0.12118421052631557
3900,-0.12115384615384599
4000,-0.11912499999999981
4100,-0.11682926829268275
4200,-0.11583333333333312
4300,-0.11488372093023234
4400,-0.11249999999999981
4500,-0.11333333333333316
4600,-0.11032608695652159
4700,-0.10882978723404235
4800,-0.10937499999999978
4900,-0.10867346938775489
5000,-0.10649999999999983
5100,-0.10872549019607824
5200,-0.10788461538461518
5300,-0.10509433962264131
5400,-0.10416666666666644
5500,-0.10063636363636343
5600,-0.09821428571428549
5700,-0.09719298245614015
5800,-0.0970689655172412
5900,-0.0952542372881354
6000,-0.09416666666666647
6100,-0.09180327868852435
6200,-0.09314516129032233
6300,-0.09293650793650766
6400,-0.08937499999999975
6500,-0.08884615384615359
6600,-0.09242424242424221
6700,-0.093507462686567
6800,-0.0924999999999999
6900,-0.09282608695652168
7000,-0.09264285714285711
7100,-0.09302816901408446
7200,-0.09180555555555547
7300,-0.09027397260273962
7400,-0.09054054054054043
7500,-0.08979999999999985
7600,-0.09131578947368407
7700,-0.09272727272727253
7800,-0.09019230769230749
7900,-0.09037974683544289
8000,-0.09093749999999988
8100,-0.09111111111111095
8200,-0.08957317073170706
8300,-0.09102409638554193
8400,-0.09065476190476168
8500,-0.09088235294117619
8600,-0.08959302325581367
8700,-0.09114942528735608
8800,-0.09159090909090878
8900,-0.09129213483146038
9000,-0.0905555555555552
9100,-0.09032967032966997
9200,-0.08885869565217355
9300,-0.08930107526881685
9400,-0.0882446808510635
9500,-0.08926315789473646
9600,-0.088645833333333
9700,-0.08747422680412331
9800,-0.0868877551020404
9900,-0.0862626262626258
10000,-0.08589999999999959
