episode,avg_reward
10,-0.4
20,-0.35000000000000003
30,-0.36666666666666675
40,-0.3500000000000001
50,-0.3200000000000001
60,-0.43333333333333335
70,-0.38571428571428573
80,-0.33125
90,-0.24999999999999994
100,-0.2899999999999999
110,-0.3181818181818181
120,-0.3333333333333333
130,-0.3538461538461539
140,-0.30000000000000016
150,-0.2833333333333335
160,-0.30312500000000014
170,-0.3323529411764707
180,-0.32500000000000007
190,-0.3289473684210527
200,-0.32750000000000007
210,-0.29761904761904767
220,-0.32045454545454555
230,-0.32608695652173914
240,-0.30625
250,-0.29400000000000004
260,-0.28269230769230763
270,-0.2870370370370369
280,-0.2714285714285713
290,-0.28275862068965496
300,-0.2933333333333331
310,-0.2967741935483869
320,-0.29687499999999983
330,-0.3090909090909089
340,-0.30588235294117627
350,-0.29999999999999977
360,-0.2958333333333331
370,-0.2905405405405403
380,-0.2776315789473682
390,-0.28333333333333305
400,-0.2812499999999996
410,-0.2890243902439021
420,-0.2869047619047616
430,-0.2825581395348834
440,-0.2761363636363633
450,-0.2777777777777775
460,-0.27608695652173887
470,-0.26914893617021246
480,-0.2697916666666664
490,-0.2622448979591833
500,-0.2599999999999997
510,-0.26666666666666644
520,-0.25769230769230744
530,-0.25471698113207525
540,-0.2481481481481479
550,-0.25090909090909064
560,-0.2508928571428568
570,-0.24999999999999964
580,-0.24568965517241337
590,-0.23644067796610127
600,-0.22833333333333292
610,-0.2237704918032783
620,-0.21693548387096734
630,-0.21269841269841236
640,-0.20703124999999967
650,-0.19999999999999968
660,-0.19621212121212092
670,-0.19328358208955193
680,-0.19632352941176437
690,-0.19927536231884024
700,-0.20142857142857107
710,-0.20633802816901367
720,-0.2062499999999996
730,-0.21164383561643796
740,-0.21554054054054014
750,-0.21533333333333293
760,-0.20855263157894696
770,-0.2064935064935061
780,-0.20769230769230726
790,-0.21139240506329074
800,-0.21249999999999958
810,-0.21172839506172797
820,-0.2109756097560971
830,-0.20120481927710798
840,-0.1940476190476186
850,-0.19882352941176432
860,-0.20465116279069728
870,-0.20172413793103405
880,-0.2039772727272723
890,-0.2039325842696625
900,-0.19722222222222183
910,-0.19725274725274683
920,-0.2016304347826083
930,-0.20053763440860178
940,-0.2021276595744677
950,-0.2042105263157891
960,-0.20104166666666629
970,-0.20309278350515422
980,-0.1984693877551016
990,-0.20050505050505005
1000,-0.20099999999999954
