episode,avg_reward
10,-0.20000000000000004
20,-0.3500000000000001
30,-0.3166666666666667
40,-0.325
50,-0.37999999999999995
60,-0.3833333333333333
70,-0.3142857142857143
80,-0.31250000000000006
90,-0.3666666666666667
100,-0.36999999999999994
110,-0.38636363636363635
120,-0.3708333333333333
130,-0.3115384615384615
140,-0.3107142857142858
150,-0.29666666666666675
160,-0.3406250000000001
170,-0.2941176470588236
180,-0.3
190,-0.3157894736842105
200,-0.30000000000000004
210,-0.2666666666666667
220,-0.24318181818181822
230,-0.24130434782608698
240,-0.2354166666666667
250,-0.22400000000000003
260,-0.2346153846153846
270,-0.2296296296296296
280,-0.23571428571428568
290,-0.22586206896551722
300,-0.20833333333333331
310,-0.22096774193548385
320,-0.21406250000000002
330,-0.22272727272727275
340,-0.21176470588235297
350,-0.20428571428571432
360,-0.18611111111111112
370,-0.1837837837837838
380,-0.1736842105263158
390,-0.1666666666666667
400,-0.16750000000000007
410,-0.16097560975609765
420,-0.15952380952380957
430,-0.15232558139534888
440,-0.1420454545454546
450,-0.1411111111111112
460,-0.14891304347826093
470,-0.13936170212765964
480,-0.12916666666666668
490,-0.12244897959183675
500,-0.10500000000000002
510,-0.1107843137254902
520,-0.11249999999999999
530,-0.1160377358490566
540,-0.125
550,-0.13
560,-0.1339285714285714
570,-0.13684210526315788
580,-0.14396551724137932
590,-0.14152542372881355
600,-0.13916666666666666
610,-0.14508196721311478
620,-0.15080645161290324
630,-0.15079365079365079
640,-0.15078124999999998
650,-0.15230769230769226
660,-0.16212121212121208
670,-0.16044776119402981
680,-0.16544117647058823
690,-0.1615942028985507
700,-0.16071428571428567
710,-0.15422535211267602
720,-0.14930555555555552
730,-0.14863013698630134
740,-0.15405405405405403
750,-0.15599999999999997
760,-0.1493421052631579
770,-0.15
780,-0.15320512820512822
790,-0.15316455696202533
800,-0.15000000000000002
810,-0.14814814814814817
820,-0.15365853658536593
830,-0.15301204819277112
840,-0.15476190476190482
850,-0.15294117647058825
860,-0.1558139534883721
870,-0.15229885057471268
880,-0.1551136363636364
890,-0.15561797752808987
900,-0.15388888888888885
910,-0.15494505494505487
920,-0.1554347826086956
930,-0.16236559139784942
940,-0.16170212765957445
950,-0.16315789473684209
960,-0.16093749999999996
970,-0.16082474226804122
980,-0.16122448979591833
990,-0.1606060606060606
1000,-0.16300000000000003
