episode,avg_reward
100,-0.28500000000000003
200,-0.1975
300,-0.17499999999999993
400,-0.16624999999999993
500,-0.1379999999999999
600,-0.11666666666666656
700,-0.10785714285714278
800,-0.10874999999999994
900,-0.12444444444444437
1000,-0.1389999999999999
1100,-0.12772727272727266
1200,-0.12749999999999997
1300,-0.13615384615384615
1400,-0.13214285714285715
1500,-0.1366666666666666
1600,-0.13249999999999992
1700,-0.1423529411764705
1800,-0.13749999999999996
1900,-0.13315789473684206
2000,-0.1342499999999999
2100,-0.13214285714285695
2200,-0.13568181818181804
2300,-0.14826086956521725
2400,-0.14229166666666648
2500,-0.14319999999999988
2600,-0.13942307692307684
2700,-0.14203703703703702
2800,-0.14464285714285716
2900,-0.1456896551724139
3000,-0.13866666666666674
3100,-0.1408064516129031
3200,-0.13874999999999987
3300,-0.13954545454545444
3400,-0.13426470588235284
3500,-0.13685714285714273
3600,-0.13291666666666652
3700,-0.12810810810810802
3800,-0.12960526315789467
3900,-0.13217948717948702
4000,-0.12899999999999978
4100,-0.12804878048780466
4200,-0.12440476190476171
4300,-0.12476744186046501
4400,-0.12170454545454533
4500,-0.1191111111111109
4600,-0.11956521739130406
4700,-0.11446808510638268
4800,-0.11843749999999965
4900,-0.11755102040816291
5000,-0.11609999999999962
5100,-0.1140196078431369
5200,-0.11394230769230736
5300,-0.11462264150943365
5400,-0.11259259259259226
5500,-0.11209090909090876
5600,-0.11249999999999963
5700,-0.11543859649122772
5800,-0.11534482758620648
5900,-0.11279661016949113
6000,-0.11208333333333291
6100,-0.11188524590163894
6200,-0.1116129032258061
6300,-0.11134920634920599
6400,-0.11226562499999962
6500,-0.10976923076923038
6600,-0.10704545454545415
6700,-0.10537313432835782
6800,-0.10323529411764669
6900,-0.10260869565217356
7000,-0.10207142857142823
7100,-0.10091549295774611
7200,-0.09944444444444402
7300,-0.09979452054794481
7400,-0.10047297297297257
7500,-0.10046666666666632
7600,-0.0996052631578944
7700,-0.10214285714285687
7800,-0.10301282051282024
7900,-0.10335443037974655
8000,-0.1040624999999997
8100,-0.10438271604938243
8200,-0.10384146341463384
8300,-0.10499999999999966
8400,-0.10529761904761875
8500,-0.1055882352941173
8600,-0.10558139534883691
8700,-0.10528735632183873
8800,-0.10579545454545418
8900,-0.10685393258426924
9000,-0.1055555555555552
9100,-0.10692307692307654
9200,-0.10570652173913009
9300,-0.10462365591397813
9400,-0.10558510638297836
9500,-0.10431578947368382
9600,-0.10468749999999964
9700,-0.10592783505154602
9800,-0.10704081632653029
9900,-0.10717171717171683
10000,-0.10829999999999972
