episode,avg_reward
10,-0.1111111111111111
20,-0.26315789473684215
30,-0.37931034482758624
40,-0.3333333333333333
50,-0.25510204081632654
60,-0.2796610169491526
70,-0.3550724637681159
80,-0.3860759493670886
90,-0.3820224719101124
100,-0.31818181818181823
110,-0.33486238532110096
120,-0.319327731092437
130,-0.25968992248062023
140,-0.2553956834532375
150,-0.27852348993288606
160,-0.27044025157232715
170,-0.2426035502958581
180,-0.2569832402234638
190,-0.253968253968254
200,-0.23618090452261312
210,-0.2440191387559809
220,-0.23744292237442927
230,-0.23580786026200873
240,-0.22384937238493724
250,-0.23092369477911642
260,-0.24517374517374513
270,-0.23605947955390327
280,-0.24910394265232966
290,-0.2525951557093425
300,-0.25919732441471566
310,-0.2508090614886731
320,-0.2617554858934169
330,-0.2705167173252279
340,-0.2743362831858407
350,-0.28939828080229224
360,-0.2841225626740947
370,-0.2872628726287263
380,-0.2810026385224274
390,-0.2789203084832904
400,-0.281954887218045
410,-0.2750611246943764
420,-0.2756563245823387
430,-0.27156177156177136
440,-0.27448747152619574
450,-0.27728285077950987
460,-0.2625272331154683
470,-0.251599147121535
480,-0.24947807933194138
490,-0.25460122699386484
500,-0.2535070140280559
510,-0.25442043222003907
520,-0.26493256262042364
530,-0.26559546313799604
540,-0.2625231910946194
550,-0.26229508196721296
560,-0.255813953488372
570,-0.25483304042179256
580,-0.2573402417962003
590,-0.2529711375212223
600,-0.2554257095158596
610,-0.2561576354679802
620,-0.26332794830371553
630,-0.2655007949125594
640,-0.25743348982785574
650,-0.251926040061633
660,-0.25493171471927134
670,-0.2600896860986544
680,-0.2569955817378495
690,-0.2663280116110301
700,-0.2625178826895562
710,-0.25035260930888553
720,-0.2538247566063976
730,-0.25720164609053486
740,-0.2550744248985114
750,-0.2596795727636849
760,-0.2615283267457181
770,-0.26332899869960985
780,-0.2625160462130936
790,-0.25792141951837766
800,-0.25469336670838544
810,-0.25525339925834356
820,-0.2472527472527472
830,-0.2466827503015681
840,-0.24851013110846243
850,-0.25029446407538275
860,-0.24970896391152494
870,-0.2502876869965477
880,-0.25426621160409546
890,-0.25534308211473555
900,-0.2547274749721912
910,-0.2563256325632562
920,-0.25680087051142525
930,-0.25349838536060265
940,-0.25079872204472825
950,-0.25131717597471004
960,-0.24765380604796644
970,-0.24045407636738889
980,-0.2400408580183859
990,-0.23913043478260848
1000,-0.23873873873873852
