episode,avg_reward
10,0.3
20,6.938893903907228e-18
30,-0.06666666666666665
40,-0.049999999999999975
50,-0.09999999999999996
60,-0.1833333333333333
70,-0.24285714285714285
80,-0.23750000000000002
90,-0.22222222222222227
100,-0.2
110,-0.2272727272727273
120,-0.2166666666666667
130,-0.24615384615384617
140,-0.2392857142857143
150,-0.23666666666666664
160,-0.25937499999999997
170,-0.2529411764705883
180,-0.2722222222222223
190,-0.2894736842105263
200,-0.26499999999999996
210,-0.25238095238095226
220,-0.26818181818181813
230,-0.2391304347826087
240,-0.20416666666666666
250,-0.204
260,-0.2115384615384615
270,-0.19999999999999996
280,-0.19821428571428562
290,-0.20517241379310336
300,-0.22499999999999992
310,-0.2370967741935483
320,-0.23281249999999992
330,-0.24393939393939384
340,-0.23676470588235288
350,-0.24285714285714277
360,-0.2402777777777777
370,-0.23918918918918913
380,-0.2539473684210526
390,-0.2576923076923076
400,-0.23374999999999993
410,-0.24390243902439018
420,-0.24761904761904757
430,-0.24651162790697673
440,-0.2431818181818181
450,-0.2533333333333333
460,-0.24130434782608698
470,-0.24255319148936172
480,-0.23958333333333337
490,-0.2387755102040817
500,-0.24200000000000008
510,-0.23333333333333342
520,-0.23653846153846167
530,-0.23396226415094354
540,-0.22962962962962974
550,-0.22454545454545466
560,-0.22767857142857154
570,-0.22543859649122813
580,-0.22155172413793112
590,-0.214406779661017
600,-0.21000000000000005
610,-0.20819672131147549
620,-0.210483870967742
630,-0.2087301587301588
640,-0.20781250000000007
650,-0.20923076923076933
660,-0.20757575757575764
670,-0.20970149253731354
680,-0.21102941176470602
690,-0.21231884057971026
700,-0.20357142857142865
710,-0.20422535211267615
720,-0.2027777777777779
730,-0.20410958904109597
740,-0.20405405405405413
750,-0.20066666666666672
760,-0.2046052631578948
770,-0.201948051948052
780,-0.20192307692307693
790,-0.19113924050632916
800,-0.19125000000000003
810,-0.18827160493827164
820,-0.1908536585365854
830,-0.19096385542168676
840,-0.19821428571428573
850,-0.20411764705882357
860,-0.2052325581395349
870,-0.20747126436781613
880,-0.209659090909091
890,-0.20505617977528098
900,-0.20388888888888895
910,-0.20384615384615393
920,-0.20163043478260878
930,-0.2010752688172044
940,-0.20212765957446818
950,-0.20210526315789482
960,-0.2052083333333334
970,-0.20927835051546398
980,-0.2102040816326531
990,-0.20656565656565656
1000,-0.2065
