episode,avg_reward
10,-0.5555555555555555
20,-0.6842105263157895
30,-0.6206896551724137
40,-0.6153846153846152
50,-0.6326530612244896
60,-0.5932203389830506
70,-0.5289855072463766
80,-0.5126582278481011
90,-0.49999999999999983
100,-0.5101010101010098
110,-0.4678899082568805
120,-0.43277310924369716
130,-0.4108527131782943
140,-0.36690647482014366
150,-0.3825503355704696
160,-0.3805031446540878
170,-0.3934911242603547
180,-0.3994413407821225
190,-0.38888888888888845
200,-0.3668341708542709
210,-0.38755980861243966
220,-0.3972602739726023
230,-0.37117903930130963
240,-0.3807531380753134
250,-0.38152610441767026
260,-0.3899613899613895
270,-0.3754646840148695
280,-0.38351254480286695
290,-0.3685121107266432
300,-0.34280936454849464
310,-0.3252427184466016
320,-0.3307210031347959
330,-0.32674772036474137
340,-0.3230088495575219
350,-0.31661891117478486
360,-0.32451253481894127
370,-0.3130081300813006
380,-0.31530343007915546
390,-0.31748071979434417
400,-0.3195488721804508
410,-0.31662591687041536
420,-0.322195704057279
430,-0.3286713286713284
440,-0.32460136674259665
450,-0.32182628062360796
460,-0.3191721132897603
470,-0.3208955223880598
480,-0.3141962421711901
490,-0.31186094069529663
500,-0.29258517034068143
510,-0.2907662082514736
520,-0.3025048169556842
530,-0.3043478260869568
540,-0.30983302411873875
550,-0.30601092896174903
560,-0.307692307692308
570,-0.3066783831282955
580,-0.3048359240069087
590,-0.3115449915110359
600,-0.3096828046744577
610,-0.30623973727422027
620,-0.3029079159935382
630,-0.30127186009538975
640,-0.2989045383411582
650,-0.3004622496147922
660,-0.2989377845220032
670,-0.29970104633781786
680,-0.2938144329896909
690,-0.29535558780841814
700,-0.29399141630901304
710,-0.2954866008462625
720,-0.2913769123783034
730,-0.2914951989026065
740,-0.2902571041948581
750,-0.2970627503337786
760,-0.30105401844532304
770,-0.30039011703511076
780,-0.3016688061617461
790,-0.30038022813688237
800,-0.3003754693366711
810,-0.3016069221260818
820,-0.29731379731379753
830,-0.2985524728588663
840,-0.2973778307508942
850,-0.2974087161366316
860,-0.2968568102444706
870,-0.28998849252013836
880,-0.2901023890784986
890,-0.286839145106862
900,-0.28587319243604037
910,-0.29152915291529186
920,-0.29379760609358024
930,-0.2890204520990314
940,-0.2891373801916935
950,-0.2881981032665966
960,-0.28519290928050073
970,-0.2832817337461302
980,-0.28600612870275804
990,-0.2851365015166836
1000,-0.29029029029029035
