episode,avg_reward
100,-0.26999999999999996
200,-0.30750000000000005
300,-0.2716666666666666
400,-0.2524999999999999
500,-0.2719999999999999
600,-0.2783333333333332
700,-0.26214285714285696
800,-0.22499999999999973
900,-0.22555555555555537
1000,-0.21799999999999975
1100,-0.2118181818181815
1200,-0.20749999999999968
1300,-0.2080769230769227
1400,-0.1989285714285711
1500,-0.1813333333333331
1600,-0.17937499999999976
1700,-0.18088235294117638
1800,-0.1680555555555555
1900,-0.16973684210526327
2000,-0.165
2100,-0.16619047619047625
2200,-0.16500000000000006
2300,-0.16673913043478267
2400,-0.15875000000000017
2500,-0.1584000000000002
2600,-0.15596153846153865
2700,-0.15240740740740763
2800,-0.14803571428571455
2900,-0.1515517241379313
3000,-0.14850000000000035
3100,-0.14693548387096803
3200,-0.14250000000000013
3300,-0.14045454545454555
3400,-0.136029411764706
3500,-0.13557142857142865
3600,-0.1319444444444445
3700,-0.1316216216216216
3800,-0.13131578947368416
3900,-0.12615384615384606
4000,-0.12374999999999986
4100,-0.12292682926829257
4200,-0.12202380952380937
4300,-0.12267441860465104
4400,-0.12159090909090897
4500,-0.12288888888888878
4600,-0.12021739130434769
4700,-0.11893617021276587
4800,-0.1147916666666666
4900,-0.11979591836734688
5000,-0.11859999999999993
5100,-0.11843137254901953
5200,-0.11807692307692302
5300,-0.11358490566037727
5400,-0.11138888888888879
5500,-0.11418181818181806
5600,-0.11312499999999982
5700,-0.11236842105263141
5800,-0.11051724137931022
5900,-0.10720338983050834
6000,-0.10866666666666651
6100,-0.10844262295081945
6200,-0.1065322580645159
6300,-0.10555555555555529
6400,-0.1055468749999997
6500,-0.10676923076923044
6600,-0.10537878787878754
6700,-0.10305970149253696
6800,-0.10227941176470555
6900,-0.10239130434782577
7000,-0.10249999999999972
7100,-0.10302816901408417
7200,-0.10152777777777741
7300,-0.10157534246575303
7400,-0.10081081081081039
7500,-0.10159999999999955
7600,-0.10052631578947324
7700,-0.09993506493506453
7800,-0.09846153846153807
7900,-0.09753164556961991
8000,-0.09681249999999968
8100,-0.09524691358024662
8200,-0.0955487804878046
8300,-0.0948192771084335
8400,-0.09505952380952361
8500,-0.09564705882352927
8600,-0.09534883720930215
8700,-0.09402298850574689
8800,-0.09357954545454517
8900,-0.09129213483146044
9000,-0.09272222222222198
9100,-0.09071428571428548
9200,-0.08869565217391287
9300,-0.08698924731182776
9400,-0.0865425531914892
9500,-0.08384210526315772
9600,-0.08161458333333313
9700,-0.08056701030927815
9800,-0.08127551020408141
9900,-0.08121212121212101
10000,-0.08129999999999984
